interactorBAltId,score,biologicalRole,interactionEvidenceEntries,gene
H1-4,0.4,"A: unspecified role, B: unspecified role",1,ALPK2
PCNA,0.37,"A: unspecified role, B: unspecified role",1,ALPK2
NEK4,0.35,"A: unspecified role, B: unspecified role",1,ALPK2
VHL,0.4,"A: unspecified role, B: unspecified role",1,CCDC82
LY6G6C,0.35,"A: unspecified role, B: unspecified role",1,CCDC82
MED12,0.35,"A: unspecified role, B: unspecified role",1,CCDC82
CALML3,0.35,"A: unspecified role, B: unspecified role",1,CCDC82
SERPINB5,0.35,"A: unspecified role, B: unspecified role",1,CCDC82
TOMM34,0.35,"A: unspecified role, B: unspecified role",1,CCDC82
TRIM29,0.35,"A: unspecified role, B: unspecified role",1,CCDC82
SGF29,0.35,"A: unspecified role, B: unspecified role",1,CCDC82
TF,0.35,"A: unspecified role, B: unspecified role",1,CCDC82
TINF2,0.35,"A: unspecified role, B: unspecified role",1,CCDC82
PKP3,0.35,"A: unspecified role, B: unspecified role",1,CCDC82
IGKC,0.35,"A: unspecified role, B: unspecified role",1,CCDC82
NETO2,0.35,"A: unspecified role, B: unspecified role",1,CCDC82
PKP1,0.35,"A: unspecified role, B: unspecified role",1,CCDC82
COPS7A,0.35,"A: unspecified role, B: unspecified role",1,CCDC82
MARK2,0.35,"A: unspecified role, B: unspecified role",1,CCDC82
ALB,0.35,"A: unspecified role, B: unspecified role",1,CCDC82
CCR1,0.37,"A: unspecified role, B: unspecified role",1,FAN1
ANKLE2,0.35,"A: unspecified role, B: unspecified role",1,FAN1
PMS2,0.35,"A: unspecified role, B: unspecified role",1,FAN1
PPP2R1A,0.35,"A: unspecified role, B: unspecified role",1,FAN1
MIER1,0.35,"A: unspecified role, B: unspecified role",1,FAN1
HEXA,0.35,"A: unspecified role, B: unspecified role",1,FAN1
PMS2,0.35,"A: unspecified role, B: unspecified role",1,FAN1
ZNF703,0.35,"A: unspecified role, B: unspecified role",1,FAN1
AP2A2,0.35,"A: unspecified role, B: unspecified role",1,FAN1
H3C1,0.35,"A: unspecified role, B: unspecified role",1,FAN1
OTUD4,0.35,"A: unspecified role, B: unspecified role",1,FAN1
PMS2,0.35,"A: unspecified role, B: unspecified role",1,FAN1
TRAP1,0.35,"A: unspecified role, B: unspecified role",1,FAN1
H3C3,0.35,"A: unspecified role, B: unspecified role",1,FAN1
PMS1,0.35,"A: unspecified role, B: unspecified role",1,FAN1
FSCN1,0.35,"A: unspecified role, B: unspecified role",2,FAN1
PRPF4B,0.35,"A: unspecified role, B: unspecified role",1,FAN1
H3C4,0.35,"A: unspecified role, B: unspecified role",1,FAN1
B4DT77,0.35,"A: unspecified role, B: unspecified role",1,FAN1
H3C7,0.35,"A: unspecified role, B: unspecified role",1,FAN1
MLH1,0.35,"A: unspecified role, B: unspecified role",1,FAN1
AKR7A2,0.35,"A: unspecified role, B: unspecified role",1,FAN1
CAVIN2,0.35,"A: unspecified role, B: unspecified role",1,FAN1
PMS1,0.35,"A: unspecified role, B: unspecified role",1,FAN1
NCOA5,0.35,"A: unspecified role, B: unspecified role",1,FAN1
PSMD11,0.35,"A: unspecified role, B: unspecified role",1,FAN1
H3C11,0.35,"A: unspecified role, B: unspecified role",1,FAN1
H3C2,0.35,"A: unspecified role, B: unspecified role",1,FAN1
PLEKHA8,0.35,"A: unspecified role, B: unspecified role",1,FAN1
H3C6,0.35,"A: unspecified role, B: unspecified role",1,FAN1
C1orf52,0.35,"A: unspecified role, B: unspecified role",1,FAN1
H3C12,0.35,"A: unspecified role, B: unspecified role",1,FAN1
CD99L2,0.35,"A: unspecified role, B: unspecified role",1,FAN1
MLH1,0.35,"A: unspecified role, B: unspecified role",1,FAN1
SUPT5H,0.35,"A: unspecified role, B: unspecified role",1,FAN1
H3C8,0.35,"A: unspecified role, B: unspecified role",1,FAN1
PIK3C2B,0.35,"A: unspecified role, B: unspecified role",1,FAN1
H3C10,0.35,"A: unspecified role, B: unspecified role",1,FAN1
WDR75,0.35,"A: unspecified role, B: unspecified role",1,FAN1
MAL,0.56,"A: unspecified role, B: unspecified role",3,GSG1L
LXN,0.56,"A: unspecified role, B: unspecified role",3,GSG1L
HTT,0.89,"A: unspecified role, B: unspecified role",22,HTT
OPTN,0.82,"A: unspecified role, B: unspecified role",15,HTT
HIP1,0.81,"A: unspecified role, B: unspecified role",7,HTT
ZDHHC17,0.81,"A: unspecified role, B: unspecified role",29,HTT
ZDHHC17,0.81,"A: enzyme target, B: enzyme",1,HTT
DYNC1H1,0.77,"A: unspecified role, B: unspecified role",8,HTT
ZFYVE19,0.74,"A: unspecified role, B: unspecified role",21,HTT
PRPF40A,0.74,"A: unspecified role, B: unspecified role",15,HTT
EEF1D,0.74,"A: unspecified role, B: unspecified role",6,HTT
SH3GL3,0.74,"A: inhibitor, B: unspecified role",1,HTT
UBAC1,0.74,"A: unspecified role, B: unspecified role",26,HTT
UBE2K,0.74,"A: unspecified role, B: unspecified role",24,HTT
SH3GL3,0.74,"A: unspecified role, B: unspecified role",8,HTT
NUP58,0.74,"A: unspecified role, B: unspecified role",7,HTT
DNALI1,0.74,"A: unspecified role, B: unspecified role",15,HTT
RNF20,0.74,"A: unspecified role, B: unspecified role",24,HTT
ZNF655,0.74,"A: unspecified role, B: unspecified role",14,HTT
FEZ1,0.72,"A: unspecified role, B: unspecified role",6,HTT
HAP1,0.71,"A: unspecified role, B: unspecified role",8,HTT
TP53,0.71,"A: unspecified role, B: unspecified role",19,HTT
H3C6,0.7,"A: unspecified role, B: unspecified role",20,HTT
H3C10,0.7,"A: unspecified role, B: unspecified role",20,HTT
CRMP1,0.7,"A: unspecified role, B: unspecified role",14,HTT
BECN1,0.7,"A: competitor, B: unspecified role",1,HTT
XRCC6,0.7,"A: unspecified role, B: unspecified role",21,HTT
MRFAP1L1,0.7,"A: unspecified role, B: unspecified role",21,HTT
H3C3,0.7,"A: unspecified role, B: unspecified role",20,HTT
H3C4,0.7,"A: unspecified role, B: unspecified role",20,HTT
H3C1,0.7,"A: unspecified role, B: unspecified role",20,HTT
ZMAT2,0.7,"A: unspecified role, B: unspecified role",20,HTT
MED31,0.7,"A: unspecified role, B: unspecified role",9,HTT
GOLPH3L,0.7,"A: unspecified role, B: unspecified role",20,HTT
BECN1,0.7,"A: unspecified role, B: unspecified role",13,HTT
H3C7,0.7,"A: unspecified role, B: unspecified role",20,HTT
H3C2,0.7,"A: unspecified role, B: unspecified role",20,HTT
H3C12,0.7,"A: unspecified role, B: unspecified role",20,HTT
H3C11,0.7,"A: unspecified role, B: unspecified role",20,HTT
PFN2,0.7,"A: unspecified role, B: unspecified role",7,HTT
PIAS4,0.7,"A: unspecified role, B: unspecified role",6,HTT
ERCC6L,0.7,"A: unspecified role, B: unspecified role",20,HTT
FTL,0.7,"A: unspecified role, B: unspecified role",20,HTT
H3C8,0.7,"A: unspecified role, B: unspecified role",20,HTT
HNRNPC,0.68,"A: unspecified role, B: unspecified role",7,HTT
NME4,0.68,"A: unspecified role, B: unspecified role",20,HTT
MEOX1,0.68,"A: unspecified role, B: unspecified role",19,HTT
ZFC3H1,0.68,"A: unspecified role, B: unspecified role",5,HTT
SIN3A,0.68,"A: unspecified role, B: unspecified role",4,HTT
MBD4,0.68,"A: unspecified role, B: unspecified role",19,HTT
RPL4,0.68,"A: unspecified role, B: unspecified role",14,HTT
EVL,0.68,"A: unspecified role, B: unspecified role",20,HTT
ARFGAP3,0.68,"A: unspecified role, B: unspecified role",22,HTT
PRRC1,0.67,"A: unspecified role, B: unspecified role",7,HTT
CETN2,0.67,"A: unspecified role, B: unspecified role",13,HTT
EEF1B2,0.67,"A: unspecified role, B: unspecified role",7,HTT
SKIC8,0.67,"A: unspecified role, B: unspecified role",22,HTT
ENO1,0.67,"A: unspecified role, B: unspecified role",13,HTT
H2AP,0.67,"A: unspecified role, B: unspecified role",16,HTT
PLEC,0.67,"A: unspecified role, B: unspecified role",4,HTT
MATR3,0.67,"A: unspecified role, B: unspecified role",4,HTT
MAGEB18,0.67,"A: unspecified role, B: unspecified role",16,HTT
CTNNB1,0.67,"A: unspecified role, B: unspecified role",14,HTT
NDUFB9,0.67,"A: unspecified role, B: unspecified role",10,HTT
COX5B,0.67,"A: unspecified role, B: unspecified role",7,HTT
RPL13,0.67,"A: unspecified role, B: unspecified role",10,HTT
CALM2,0.67,"A: unspecified role, B: unspecified role",10,HTT
ACTG1,0.67,"A: unspecified role, B: unspecified role",16,HTT
PPIH,0.67,"A: unspecified role, B: unspecified role",10,HTT
GNB1,0.67,"A: unspecified role, B: unspecified role",10,HTT
JAKMIP1,0.67,"A: unspecified role, B: unspecified role",10,HTT
BCAP31,0.67,"A: unspecified role, B: unspecified role",4,HTT
DNAJC4,0.67,"A: unspecified role, B: unspecified role",12,HTT
Q59EV6,0.67,"A: unspecified role, B: unspecified role",10,HTT
CNOT10,0.67,"A: unspecified role, B: unspecified role",4,HTT
ST13,0.67,"A: unspecified role, B: unspecified role",13,HTT
CALM1,0.67,"A: unspecified role, B: unspecified role",10,HTT
FLOT1,0.67,"A: unspecified role, B: unspecified role",4,HTT
LANCL1,0.67,"A: unspecified role, B: unspecified role",10,HTT
TXNDC11,0.67,"A: unspecified role, B: unspecified role",7,HTT
PKM,0.67,"A: unspecified role, B: unspecified role",9,HTT
GNB2,0.67,"A: unspecified role, B: unspecified role",10,HTT
HOXC11,0.67,"A: unspecified role, B: unspecified role",7,HTT
PPL,0.67,"A: unspecified role, B: unspecified role",8,HTT
NDUFA9,0.67,"A: unspecified role, B: unspecified role",7,HTT
CALM3,0.67,"A: unspecified role, B: unspecified role",10,HTT
EIF3I,0.67,"A: unspecified role, B: unspecified role",13,HTT
GNAO1,0.67,"A: unspecified role, B: unspecified role",7,HTT
PPP1CA,0.67,"A: unspecified role, B: unspecified role",10,HTT
PSMD14,0.67,"A: unspecified role, B: unspecified role",7,HTT
PPARG,0.67,"A: unspecified role, B: unspecified role",16,HTT
EIF4E2,0.67,"A: unspecified role, B: unspecified role",4,HTT
IMMT,0.67,"A: unspecified role, B: unspecified role",7,HTT
GAPDH,0.67,"A: unspecified role, B: unspecified role",7,HTT
WDR91,0.67,"A: unspecified role, B: unspecified role",16,HTT
PSMA7,0.67,"A: unspecified role, B: unspecified role",13,HTT
VIM,0.67,"A: unspecified role, B: unspecified role",4,HTT
CD59,0.67,"A: unspecified role, B: unspecified role",10,HTT
STRAP,0.67,"A: unspecified role, B: unspecified role",4,HTT
COPS3,0.67,"A: unspecified role, B: unspecified role",22,HTT
CHCHD2,0.67,"A: unspecified role, B: unspecified role",10,HTT
SYP,0.67,"A: unspecified role, B: unspecified role",13,HTT
PSMA4,0.67,"A: unspecified role, B: unspecified role",4,HTT
EZR,0.67,"A: unspecified role, B: unspecified role",4,HTT
DNAJA1,0.67,"A: unspecified role, B: unspecified role",17,HTT
VCP,0.67,"A: unspecified role, B: unspecified role",10,HTT
ZBTB16,0.67,"A: unspecified role, B: unspecified role",4,HTT
UTP14A,0.67,"A: unspecified role, B: unspecified role",4,HTT
RNF40,0.67,"A: unspecified role, B: unspecified role",12,HTT
CHMP4B,0.67,"A: unspecified role, B: unspecified role",7,HTT
SP3,0.67,"A: unspecified role, B: unspecified role",4,HTT
VPS28,0.67,"A: unspecified role, B: unspecified role",16,HTT
HSPA8,0.67,"A: unspecified role, B: unspecified role",14,HTT
CNOT7,0.67,"A: unspecified role, B: unspecified role",13,HTT
GFAP,0.67,"A: unspecified role, B: unspecified role",10,HTT
NDUFS5,0.67,"A: unspecified role, B: unspecified role",7,HTT
GPRASP2,0.67,"A: unspecified role, B: unspecified role",5,HTT
HOXC4,0.67,"A: unspecified role, B: unspecified role",16,HTT
PIK3R3,0.67,"A: unspecified role, B: unspecified role",18,HTT
PIAS1,0.67,"A: unspecified role, B: unspecified role",19,HTT
PSMB1,0.67,"A: unspecified role, B: unspecified role",7,HTT
UFD1,0.67,"A: unspecified role, B: unspecified role",7,HTT
KLF11,0.67,"A: unspecified role, B: unspecified role",7,HTT
STXBP1,0.67,"A: unspecified role, B: unspecified role",7,HTT
MRFAP1,0.67,"A: unspecified role, B: unspecified role",19,HTT
DCAF7,0.67,"A: unspecified role, B: unspecified role",10,HTT
PSMB2,0.67,"A: unspecified role, B: unspecified role",7,HTT
SYT2,0.67,"A: unspecified role, B: unspecified role",10,HTT
HAX1,0.67,"A: unspecified role, B: unspecified role",14,HTT
DYNLL1,0.67,"A: unspecified role, B: unspecified role",10,HTT
CNP,0.67,"A: unspecified role, B: unspecified role",10,HTT
CYC1,0.67,"A: unspecified role, B: unspecified role",7,HTT
YWHAB,0.67,"A: unspecified role, B: unspecified role",11,HTT
CCT8,0.67,"A: unspecified role, B: unspecified role",4,HTT
VDAC2,0.67,"A: unspecified role, B: unspecified role",22,HTT
FASN,0.67,"A: unspecified role, B: unspecified role",13,HTT
RAE1,0.67,"A: unspecified role, B: unspecified role",4,HTT
MKRN2,0.67,"A: unspecified role, B: unspecified role",12,HTT
GPM6A,0.67,"A: unspecified role, B: unspecified role",4,HTT
NDUFA13,0.67,"A: unspecified role, B: unspecified role",4,HTT
GTF3C3,0.67,"A: unspecified role, B: unspecified role",12,HTT
PRNP,0.67,"A: unspecified role, B: unspecified role",13,HTT
PTK6,0.67,"A: unspecified role, B: unspecified role",4,HTT
PDK2,0.67,"A: unspecified role, B: unspecified role",10,HTT
PSMD7,0.67,"A: unspecified role, B: unspecified role",10,HTT
HYPK,0.67,"A: unspecified role, B: unspecified role",4,HTT
COX6C,0.67,"A: unspecified role, B: unspecified role",4,HTT
COPB1,0.67,"A: unspecified role, B: unspecified role",6,HTT
EIF3G,0.67,"A: unspecified role, B: unspecified role",4,HTT
PSMD4,0.67,"A: unspecified role, B: unspecified role",5,HTT
CUL5,0.67,"A: unspecified role, B: unspecified role",10,HTT
CCT6A,0.67,"A: unspecified role, B: unspecified role",10,HTT
RANGAP1,0.67,"A: unspecified role, B: unspecified role",10,HTT
IPO4,0.67,"A: unspecified role, B: unspecified role",7,HTT
KPNA3,0.67,"A: unspecified role, B: unspecified role",11,HTT
DCTN2,0.67,"A: unspecified role, B: unspecified role",12,HTT
PSMA6,0.67,"A: unspecified role, B: unspecified role",4,HTT
DNAJA3,0.67,"A: unspecified role, B: unspecified role",5,HTT
G3BP1,0.67,"A: unspecified role, B: unspecified role",16,HTT
COX6A1,0.67,"A: unspecified role, B: unspecified role",4,HTT
NDUFB10,0.67,"A: unspecified role, B: unspecified role",13,HTT
SQSTM1,0.65,"A: unspecified role, B: unspecified role",8,HTT
ULK1,0.61,"A: unspecified role, B: unspecified role",8,HTT
